epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,19397.5,0.86931,1.8999,1.01437,1.17419,0,0.70025,0.65888,0.69517,0.5186,0.70253,0.65918,0.68988,0.46479,0.88384,1.9638,1.05324,1.06834,0,0.000328911,0.000328911,0.000328911
66,19692.5,0.86925,1.89336,1.01064,1.17217,0,0.71582,0.66376,0.69937,0.521,0.7081,0.66311,0.69138,0.46375,0.89279,1.96265,1.04177,1.07526,0,0.000323628,0.000323628,0.000323628
67,19991.4,0.86501,1.8882,1.00632,1.16767,0,0.72398,0.65439,0.70317,0.52317,0.72635,0.65356,0.70041,0.4666,0.88129,1.97023,1.0293,1.0695,0,0.000318346,0.000318346,0.000318346
68,20286.6,0.8582,1.87204,0.9962,1.16389,0,0.72373,0.66403,0.70485,0.52459,0.73105,0.66452,0.7024,0.46873,0.88143,1.99175,1.02558,1.07026,0,0.000313063,0.000313063,0.000313063
69,20586.3,0.85063,1.87154,0.98776,1.15525,0,0.7518,0.64209,0.70205,0.52124,0.747,0.63971,0.69456,0.46523,0.89019,1.97206,1.041,1.07723,0,0.00030778,0.00030778,0.00030778
70,20884.1,0.85872,1.87085,0.99104,1.16039,0,0.73288,0.66037,0.7085,0.52373,0.73621,0.66137,0.704,0.47057,0.87439,1.92212,1.02694,1.06409,0,0.000302498,0.000302498,0.000302498
71,21184.1,0.86165,1.8802,0.99864,1.16574,0,0.71534,0.64973,0.70107,0.52129,0.70207,0.65392,0.69791,0.46639,0.88063,1.95687,1.03434,1.07012,0,0.000297215,0.000297215,0.000297215
72,21479.8,0.85408,1.86028,0.98342,1.16121,0,0.71683,0.66569,0.70343,0.52303,0.72608,0.65703,0.69866,0.46879,0.8793,1.94965,1.02854,1.06536,0,0.000291933,0.000291933,0.000291933
73,21774.2,0.85411,1.86347,0.9897,1.16556,0,0.71686,0.66099,0.71153,0.52956,0.71899,0.66181,0.7041,0.4741,0.88018,1.93827,1.03191,1.07179,0,0.00028665,0.00028665,0.00028665
74,22066.3,0.84599,1.8515,0.97855,1.15946,0,0.71651,0.66474,0.70853,0.52669,0.71668,0.65948,0.69999,0.47077,0.8769,1.93469,1.036,1.06762,0,0.000281367,0.000281367,0.000281367
75,22365.3,0.8498,1.84503,0.97643,1.1589,0,0.69815,0.67781,0.7022,0.52162,0.69577,0.6736,0.69432,0.46455,0.88238,1.95334,1.04134,1.07256,0,0.000276085,0.000276085,0.000276085
76,22664.1,0.84937,1.85709,0.9818,1.1591,0,0.74465,0.66434,0.70963,0.52443,0.74439,0.66394,0.70228,0.46678,0.87619,1.95897,1.01926,1.06417,0,0.000270802,0.000270802,0.000270802
77,22960.4,0.84509,1.83019,0.96533,1.15241,0,0.7193,0.68883,0.70974,0.52882,0.71242,0.68303,0.70259,0.46904,0.88982,1.95408,1.04088,1.07489,0,0.000265519,0.000265519,0.000265519
78,23258.9,0.84003,1.85032,0.96088,1.15304,0,0.72029,0.67333,0.71535,0.53265,0.71436,0.68494,0.71208,0.47869,0.87618,1.94759,1.02016,1.06999,0,0.000260237,0.000260237,0.000260237
79,23557.1,0.84443,1.82801,0.9602,1.15332,0,0.70684,0.68081,0.70593,0.52696,0.71107,0.67285,0.69946,0.46992,0.87858,1.94964,1.02734,1.0695,0,0.000254954,0.000254954,0.000254954
80,23852.6,0.84576,1.81516,0.9561,1.154,0,0.70796,0.68491,0.7034,0.52865,0.71283,0.68065,0.69912,0.46957,0.88379,1.96024,1.02539,1.07556,0,0.000249671,0.000249671,0.000249671
81,24151.2,0.84345,1.83255,0.96238,1.15326,0,0.71108,0.6777,0.70364,0.53112,0.71096,0.68185,0.702,0.47011,0.86616,1.95934,1.02201,1.05547,0,0.000244389,0.000244389,0.000244389
82,24448.6,0.84043,1.82275,0.95446,1.14914,0,0.71965,0.67606,0.70393,0.52807,0.72512,0.6775,0.70445,0.47568,0.87453,1.95449,1.02884,1.05782,0,0.000239106,0.000239106,0.000239106
83,24745.9,0.83707,1.82169,0.95428,1.1488,0,0.7173,0.68356,0.71259,0.53311,0.72136,0.67937,0.70987,0.47997,0.8671,1.91419,1.00558,1.05643,0,0.000233824,0.000233824,0.000233824
84,25044.3,0.84109,1.82087,0.96182,1.15181,0,0.73225,0.67066,0.70968,0.53346,0.73878,0.67168,0.70751,0.47867,0.86443,1.9391,1.01143,1.05775,0,0.000228541,0.000228541,0.000228541
85,25343.5,0.83882,1.81127,0.94674,1.14717,0,0.7362,0.67405,0.71697,0.53404,0.73546,0.67627,0.71231,0.48101,0.86878,1.92609,1.01118,1.06173,0,0.000223258,0.000223258,0.000223258
86,25640.2,0.8385,1.79549,0.94853,1.15122,0,0.73521,0.68192,0.71891,0.53861,0.73745,0.68199,0.71579,0.4828,0.86806,1.91895,1.00997,1.05952,0,0.000217976,0.000217976,0.000217976
87,25942.7,0.83065,1.80125,0.93622,1.14306,0,0.73222,0.6709,0.71725,0.536,0.73647,0.67501,0.71218,0.48131,0.87457,1.90946,1.00943,1.06218,0,0.000212693,0.000212693,0.000212693
88,26245.1,0.83186,1.80347,0.93719,1.14453,0,0.72864,0.68696,0.71258,0.53385,0.7257,0.68451,0.70639,0.47648,0.86527,1.93077,1.00723,1.05509,0,0.00020741,0.00020741,0.00020741
89,26542.6,0.82908,1.80287,0.94136,1.14476,0,0.73906,0.67761,0.7181,0.541,0.7337,0.6843,0.71492,0.48225,0.86016,1.92377,0.99986,1.04979,0,0.000202128,0.000202128,0.000202128
90,26839,0.83342,1.79255,0.93344,1.14446,0,0.74281,0.68057,0.71749,0.53984,0.74761,0.67823,0.71293,0.48313,0.86166,1.93131,0.99658,1.0517,0,0.000196845,0.000196845,0.000196845
91,27136.1,0.83045,1.79446,0.93299,1.14347,0,0.73205,0.68638,0.71776,0.54131,0.73134,0.68209,0.70946,0.48507,0.86076,1.91166,0.99881,1.05042,0,0.000191562,0.000191562,0.000191562
92,27431.5,0.82412,1.77853,0.93051,1.13858,0,0.74023,0.67043,0.71775,0.54227,0.73832,0.67584,0.71513,0.48421,0.86042,1.92637,1.01163,1.0493,0,0.00018628,0.00018628,0.00018628
93,27734.9,0.82186,1.77617,0.92231,1.13734,0,0.72989,0.6728,0.72233,0.54558,0.74033,0.67063,0.72147,0.4908,0.85508,1.92154,0.99263,1.0459,0,0.000180997,0.000180997,0.000180997
94,28032.8,0.81658,1.78257,0.92705,1.137,0,0.73581,0.67738,0.7218,0.54772,0.74059,0.6769,0.71957,0.48896,0.85914,1.93033,0.99615,1.04965,0,0.000175714,0.000175714,0.000175714
95,28331.3,0.82034,1.77547,0.91964,1.13751,0,0.73052,0.67435,0.71735,0.54112,0.73747,0.67591,0.71474,0.48671,0.86162,1.9103,0.99941,1.05403,0,0.000170432,0.000170432,0.000170432
96,28631,0.8239,1.7694,0.91963,1.13795,0,0.73415,0.67574,0.71969,0.5422,0.74408,0.68143,0.71909,0.48632,0.86061,1.91761,0.99758,1.0518,0,0.000165149,0.000165149,0.000165149
97,28927.8,0.81482,1.76542,0.91359,1.13663,0,0.75114,0.67092,0.72113,0.54237,0.73659,0.68971,0.71958,0.48648,0.85889,1.91361,0.99845,1.04943,0,0.000159867,0.000159867,0.000159867
98,29222,0.81941,1.77412,0.92138,1.13674,0,0.72736,0.69564,0.72635,0.54687,0.72628,0.69232,0.71776,0.49042,0.8577,1.90748,0.98632,1.05104,0,0.000154584,0.000154584,0.000154584
99,29519.7,0.81294,1.73516,0.90811,1.13172,0,0.73538,0.67895,0.72572,0.54737,0.73884,0.68283,0.72527,0.49069,0.85789,1.89601,0.98094,1.05383,0,0.000149301,0.000149301,0.000149301
100,29819.8,0.81733,1.75788,0.91177,1.13796,0,0.73412,0.67702,0.72108,0.54661,0.73947,0.68318,0.72086,0.49297,0.86161,1.91253,0.98982,1.05606,0,0.000144019,0.000144019,0.000144019
101,30119.8,0.81543,1.74797,0.9037,1.13498,0,0.72416,0.69137,0.72193,0.54594,0.73133,0.68224,0.71812,0.48779,0.86197,1.89791,0.98981,1.05405,0,0.000138736,0.000138736,0.000138736
102,30418.7,0.81353,1.74659,0.90838,1.1344,0,0.71625,0.69847,0.71993,0.54356,0.72016,0.69397,0.71416,0.48457,0.85714,1.90296,0.98378,1.05102,0,0.000133453,0.000133453,0.000133453
103,30715.7,0.8075,1.73623,0.90072,1.13272,0,0.75552,0.66002,0.7178,0.54325,0.74102,0.67581,0.71363,0.48696,0.85571,1.90691,0.99042,1.04975,0,0.000128171,0.000128171,0.000128171
